household_id,day,score,top_sensor,top_weight
H02,2025-02-09,4.792213439941406e-05,H02_S01,0.9443227648735046
H02,2025-02-10,3.349781036376953e-05,H02_S01,0.9442390203475952
H02,2025-02-11,5.4836273193359375e-06,H02_S01,0.9441795945167542
H02,2025-02-12,7.641315460205078e-05,H02_S01,0.9443328380584717
H02,2025-02-13,2.9265880584716797e-05,H02_S01,0.9441702365875244
H02,2025-02-14,1.0311603546142578e-05,H02_S01,0.9440340399742126
H03,2025-01-02,5.0067901611328125e-06,H03_S01,0.9441569447517395
H03,2025-01-03,5.4836273193359375e-06,H03_S01,0.9442026615142822
H03,2025-01-04,1.7881393432617188e-06,H03_S01,0.9441807866096497
H03,2025-01-05,6.4373016357421875e-06,H03_S01,0.9442766308784485
H03,2025-01-06,0.00012248754501342773,H03_S01,0.9440528154373169
H03,2025-01-07,0.00010830163955688477,H03_S01,0.9443512558937073
H03,2025-01-08,3.1888484954833984e-05,H03_S01,0.944118082523346
H03,2025-01-09,9.000301361083984e-06,H03_S01,0.9441103935241699
H03,2025-01-10,3.159046173095703e-06,H03_S01,0.9441892504692078
H03,2025-01-11,4.017353057861328e-05,H03_S01,0.9442096948623657
H03,2025-01-12,1.5139579772949219e-05,H03_S01,0.9443748593330383
H03,2025-01-13,0.0001315474510192871,H03_S01,0.9440825581550598
H03,2025-01-14,3.266334533691406e-05,H03_S01,0.9442543387413025
H03,2025-01-15,7.331371307373047e-06,H03_S01,0.9441518783569336
H03,2025-01-16,1.9729137420654297e-05,H03_S01,0.9442957639694214
H03,2025-01-17,1.7881393432617188e-06,H03_S01,0.9442464709281921
H03,2025-01-18,5.185604095458984e-06,H03_S01,0.9442028999328613
H03,2025-01-19,1.3709068298339844e-06,H03_S01,0.9442492127418518
H03,2025-01-20,6.377696990966797e-06,H03_S01,0.9441482424736023
H03,2025-01-21,3.62396240234375e-05,H03_S01,0.9440630078315735
H03,2025-01-22,3.5822391510009766e-05,H03_S01,0.9442859888076782
H03,2025-01-23,2.944469451904297e-05,H03_S01,0.9442334771156311
H03,2025-01-24,5.8591365814208984e-05,H03_S01,0.9442249536514282
H03,2025-01-25,1.9073486328125e-06,H03_S01,0.944165050983429
H03,2025-01-26,5.0067901611328125e-06,H03_S01,0.9441112875938416
H03,2025-01-27,9.417533874511719e-06,H03_S01,0.9442477226257324
H03,2025-01-28,1.2516975402832031e-06,H03_S01,0.9441990256309509
H03,2025-01-29,0.0,H03_S01,0.9441843628883362
H03,2025-01-30,9.119510650634766e-06,H03_S01,0.9442024230957031
H03,2025-01-31,2.86102294921875e-06,H03_S01,0.9441503882408142
H03,2025-02-01,3.141164779663086e-05,H03_S01,0.9441609978675842
H03,2025-02-02,1.3589859008789062e-05,H03_S01,0.9443202018737793
H03,2025-02-03,3.2961368560791016e-05,H03_S01,0.9441435933113098
H03,2025-02-04,1.6093254089355469e-06,H03_S01,0.9441831111907959
H03,2025-02-05,5.841255187988281e-06,H03_S01,0.9442096948623657
H03,2025-02-06,5.7220458984375e-06,H03_S01,0.9442262649536133
H03,2025-02-07,5.9604644775390625e-05,H03_S01,0.9439895153045654
H03,2025-02-08,4.607439041137695e-05,H03_S01,0.9442364573478699
H03,2025-02-09,5.185604095458984e-06,H03_S01,0.9441527128219604
H03,2025-02-10,7.092952728271484e-06,H03_S01,0.9441539645195007
H03,2025-02-11,9.5367431640625e-07,H03_S01,0.9441118836402893
H03,2025-02-12,1.5676021575927734e-05,H03_S01,0.9441614151000977
H03,2025-02-13,5.602836608886719e-06,H03_S01,0.9442228674888611
H03,2025-02-14,1.2516975402832031e-06,H03_S01,0.944263219833374
H04,2025-01-02,3.2782554626464844e-06,H04_S01,0.9441717267036438
H04,2025-01-03,2.0444393157958984e-05,H04_S01,0.9441646933555603
H04,2025-01-04,9.834766387939453e-06,H04_S01,0.9441842436790466
H04,2025-01-05,7.212162017822266e-06,H04_S01,0.94419264793396
H04,2025-01-06,2.0265579223632812e-05,H04_S01,0.9442504644393921
H04,2025-01-07,0.0001251697540283203,H04_S01,0.944068431854248
H04,2025-01-08,4.988908767700195e-05,H04_S01,0.9442010521888733
H04,2025-01-09,2.9802322387695312e-06,H04_S01,0.9442048668861389
H04,2025-01-10,8.26716423034668e-05,H04_S01,0.9441612958908081
H04,2025-01-11,0.00010597705841064453,H04_S01,0.9442113637924194
H04,2025-01-12,1.1265277862548828e-05,H04_S01,0.9440816044807434
H04,2025-01-13,6.508827209472656e-05,H04_S01,0.9442269802093506
H04,2025-01-14,2.8073787689208984e-05,H04_S01,0.9442569613456726
H04,2025-01-15,7.331371307373047e-06,H04_S01,0.9441960453987122
